State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Physical_Therapy,Occupational_Therapy,Speech_Pathology,Medical_Social,Home_Health_Aide,Date Certified,star_rating,timely_care,drug_use_training,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,improved_breathing,hosp_admission_rate,unplanned_er_care,readmitted_cases
AL,17052,KINDRED AT HOME,1628 NORTH MCKENZIE STREET,FOLEY,36535,2519433002,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/20/1984,4,97,98,89.4,77.9,16.3,12.7,Worse Than Expected
AL,17053,ENCOMPASS HOME HEALTH OF ALABAMA,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,36305,3347935758,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/20/1984,4,93.4,98.5,73.3,82.4,18.5,14.1,Worse Than Expected
AL,17054,KINDRED AT HOME,1108 EAST PARK DRIVE,BIRMINGHAM,35235,2058360777,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/4/1984,3,89.8,95.7,82.7,78.1,15.3,11.8,Worse Than Expected
AL,17055,GENTIVA HEALTH SERVICES,1988 HIGHWAY 14 EAST,PRATTVILLE,36066,3343619806,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/8/1984,3.5,96.8,99.2,82.9,72.2,19.2,8.9,Same As Expected
AL,17056,KINDRED AT HOME,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,36064,3342701151,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/3/1984,3,92,97.7,69.7,72.9,22.3,11,Same As Expected
AL,17058,KINDRED AT HOME,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,36526,2516210882,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/25/1984,4,95.8,98.8,87,82.5,20.3,12.6,Same As Expected
AL,17063,INTREPID USA HEALTHCARE SERVICES,"200 CENTURY PARK SOUTH, SUITE 116",BIRMINGHAM,35226,2058773403,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/5/1985,2.5,92.2,98.1,62.4,47.3,21.4,12.3,Same As Expected
AL,17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,36607,2514338172,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/24/1986,2.5,96.9,98.9,69.5,63.6,22,11.2,Worse Than Expected
AL,17067,INTREPID USA HEALTHCARE SERVICES,"4141 WALL STREET, SUITE 4141",MONTGOMERY,36106,3342707913,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/9/1986,2,97.7,91.2,76.6,48.2,27.2,9.7,Same As Expected
AL,17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,36535,2519711436,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/1986,4.5,97.6,99.7,80.7,86.5,19.3,11.5,Worse Than Expected
AL,17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,36522,2518663261,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/1986,4,97.1,99.7,78.9,76.8,15.9,12.8,Same As Expected
AL,17071,GENTIVA HEALTH SERVICES,20 ALMON DRIVE SUITE C,MOULTON,35650,2057397800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/21/1986,4,96.7,98.5,84.9,82.8,18.7,12.5,Same As Expected
AL,17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,36037,3343822042,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,2/5/1987,4.5,97.8,98.6,72.6,82.6,19.1,12.5,Same As Expected
AL,17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,35481,2053759255,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/12/1990,4,97.2,99.8,87.1,77,18.4,14.1,Same As Expected
AL,17079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,35592,2056956736,Proprietary,TRUE,FALSE,FALSE,FALSE,TRUE,12/21/1990,4,95.3,96.4,89.3,77.6,17.9,13.6,Same As Expected
AL,17080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,35401,2057597010,Non - Profit Private,TRUE,TRUE,TRUE,TRUE,TRUE,5/2/1991,3.5,87.8,99.4,80.6,71.3,18.4,9.1,Same As Expected
AL,17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,35042,2059263211,Proprietary,TRUE,FALSE,FALSE,FALSE,TRUE,11/7/1991,3,98.3,94,76.4,43.8,14.9,17,Same As Expected
AL,17084,KINDRED AT HOME,200 CENTRAL PARK PLACE,SELMA,36701,3348726637,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,11/21/1991,4.5,95.3,99.8,94.4,90.7,24.7,13.3,Same As Expected
AL,17085,COOSA VALLEY HOMECARE,"209 WEST SPRING STREET, SUIT 305",SYLACAUGA,35150,2562080087,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/5/1991,4.5,98.3,100,66.2,88,18.9,8.3,Same As Expected
AL,17086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,36726,3346829050,Proprietary,TRUE,FALSE,TRUE,TRUE,TRUE,1/9/1992,4.5,97.9,100,48.1,91.4,16.5,20.3,Same As Expected
AL,17088,FAYETTE MEDICAL CENTER HOMECARE,1653 TEMPLE AVENUE,FAYETTE,35555,2059325961,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/18/1991,4.5,99,100,63.6,81.3,20.8,13.3,Same As Expected
AL,17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,1792 ALABAMA HWY 157 NE,CULLMAN,35058,2567372831,Non - Profit Other,TRUE,TRUE,FALSE,TRUE,TRUE,6/11/1992,4,99,98.8,91.6,76.8,10.2,10.2,Same As Expected
AL,17090,GENTIVA HEALTH SERVICES,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,36908,2518432808,Proprietary,TRUE,FALSE,FALSE,FALSE,TRUE,6/10/1992,4.5,99.3,99.6,70,82.5,16.2,14.4,Same As Expected
AL,17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,36744,3346243066,Government - State/ County,TRUE,TRUE,TRUE,FALSE,TRUE,6/18/1992,4.5,99.1,99.7,49.7,100,16.6,16.2,Same As Expected
AL,17092,MEDICAL CENTER HOME HEALTH,194 WILLIAM E HILL DRIVE,CARROLLTON,35447,2053678111,Government - State/ County,TRUE,TRUE,TRUE,FALSE,TRUE,7/1/1992,3,96.7,99.5,87.2,70.1,19.5,10.8,Same As Expected
AL,17093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,35968,2565242411,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/30/1992,5,98.9,99.6,94.2,88.9,20.4,10.9,Same As Expected
AL,17094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,35960,2569271144,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,8/13/1992,4,96.2,97.7,83.8,75.5,22,9.8,Worse Than Expected
AL,17095,ATHENS-LIMESTONE HOMECARE,"725 WEST MARKET STREET, SUITE A",ATHENS,35611,2562339533,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,8/12/1992,4.5,99.2,100,76,79.9,16.5,13.4,Same As Expected
AL,17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,798 HIGHWAY 231 SOUTH,TROY,36081,3344034520,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/27/1992,4.5,98.6,99.8,57.9,86,15.2,14.3,Same As Expected
AL,17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,36251,2563540077,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,10/27/1992,4.5,99.5,99.8,77.2,82.3,18.4,12.6,Worse Than Expected
AL,17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,35570,2059210391,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/29/1992,4.5,98.4,100,80.3,82.3,19.1,16,Same As Expected
AL,17102,GREEN COUNTY HEALTH SYSTEM HOME HEALTH AGENCY,"607 WILSON AVENUE, SUITE 3",EUTAW,35462,2053723399,Non - Profit Other,TRUE,FALSE,TRUE,FALSE,FALSE,12/17/1992,3,99,100,40,52.1,17.3,16.5,Same As Expected
AL,17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,105 HIGHWAY 80 EAST,DEMOPOLIS,36732,3342890701,Government - Combination Government & Voluntary,TRUE,TRUE,TRUE,FALSE,TRUE,12/23/1992,2,88,98.4,36,68,19.1,9.5,Same As Expected
AL,17104,HIGHLANDS HOME HEALTH,901 HEROES DRIVE,SCOTTSBORO,35768,2562594840,Government - State/ County,TRUE,TRUE,TRUE,FALSE,TRUE,1/13/1993,3,98.9,98.9,77.9,60.2,17,13.5,Same As Expected
AL,17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,36401,2515786800,Proprietary,FALSE,FALSE,FALSE,FALSE,TRUE,1/12/1993,3,87.8,100,93.8,38.3,21.5,7.8,Same As Expected
AL,17107,SUNCREST HOME HEALTH,222 7TH STREET SOUTH,CLANTON,35045,2052804663,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/24/1993,4,94.2,95.6,79,83.2,15.3,12.2,Same As Expected
AL,17109,NORTHWEST HOME HEALTH - HALEYVILLE,42030 HIGHWAY 195 SUITE D,HALEYVILLE,35565,2054857341,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,6/23/1993,2.5,94.5,98.4,65.5,52.9,19.2,9.5,Same As Expected
AL,17112,JACKSON MEDICAL CENTER HOME HEALTH,3748N COLLEGE AVENUE,JACKSON,36545,2512470424,Proprietary,TRUE,FALSE,FALSE,FALSE,TRUE,6/29/1993,4,99.4,98.5,74.7,71,18.8,14.1,Same As Expected
AL,17115,GADSDEN REGIONAL HOME HEALTH,301 S 4TH STREET,GADSDEN,35901,2565382273,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,7/27/1993,4,96.4,99.4,83.9,80.5,14.3,15.6,Same As Expected
AL,17116,IVY CREEK HOME HEALTH OF ELMORE,500 HOSPITAL DRIVE,WETUMPKA,36092,3345677710,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,7/26/1993,3.5,92.3,99.1,65.8,82,17.7,10.4,Same As Expected
AL,17117,LAKE MARTIN HOME HEALTH,729 EAST SOUTH STREET,DADEVILLE,36853,2568257050,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/29/1993,2.5,89.3,92.9,76.1,52,17.7,12.1,Same As Expected
AL,17118,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER","15190 COURT STREET, SUITE B",MOULTON,35650,2569742200,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/17/1993,4.5,95.1,99.5,92.4,90.1,18,20.4,Same As Expected
AL,17119,HUNTSVILLE HOSPITAL HOMECARE,"500 BOULEVARD SOUTH SW, SUITE 203",HUNTSVILLE,35802,2569226650,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/20/1993,4.5,98.2,100,78.3,83.5,18.2,12.3,Worse Than Expected
AL,17121,KINDRED AT HOME,1309 ANTIOCH ROAD,ANDALUSIA,36420,3342222172,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,9/27/1993,4,97.4,98.5,88.5,79.9,20.4,12.7,Worse Than Expected
AL,17123,EAMC - LANIER HOME HEALTH,1806 44TH ST.,VALLEY,36854,3347561950,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,10/21/1993,4.5,99.3,99.6,70.9,83.2,21,11.8,Same As Expected
AL,17124,DALE MEDICAL CTR HOME HEALTH,126 HOSPITAL AVENUE,OZARK,36360,3347740750,Non - Profit Other,TRUE,FALSE,FALSE,TRUE,TRUE,10/20/1993,3.5,97.8,96.8,75.7,73.4,15.9,20.1,Worse Than Expected
AL,17125,KELLER HOME CARE,116 4TH AVENUE SE,RED BAY,35582,2563568160,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/20/1994,4.5,99.2,100,79.3,83.7,19.8,14.1,Same As Expected
AL,17127,SOUTH BALDWIN REGIONAL HOME HEALTH,110 ELECIA LANE,FOLEY,36535,2514241045,Government - State/ County,TRUE,TRUE,TRUE,TRUE,TRUE,2/15/1994,2.5,92.5,99.8,71.2,62.2,15.5,13.6,Same As Expected
AL,17128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,35976,2568785811,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/3/1994,5,99.2,100,98.4,86.6,15.2,13.5,Better Than Expected
AL,17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"665 OPELIKA ROAD, SUITE 300",AUBURN,36830,3348263131,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,3/31/1994,4.5,98.5,99.8,83.2,86.4,17.4,12.6,Same As Expected
AL,17130,INFIRMARY HOMECARE,800 COLLEGE AVENUE,JACKSON,36545,2512626477,Proprietary,TRUE,FALSE,TRUE,TRUE,TRUE,4/13/1994,4.5,98.6,100,70.7,84.6,17.4,13.9,Same As Expected
AL,17132,BROOKDALE HOME HEALTH BIRMINGHAM,"1104 2ND AVE EAST, SUITE C",ONEONTA,35121,2052740720,Proprietary,TRUE,TRUE,TRUE,FALSE,FALSE,6/15/1994,5,99.3,100,98.4,99.1,18,12.6,Same As Expected
AL,17134,LHC HOMECARE OF SOUTH ALABAMA,"1802 US HIGHWAY 84 WEST, SUITE A",OPP,36467,3344932087,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/14/1994,5,99.7,100,89,92,19,14,Same As Expected
AL,17135,COMMUNITY HOME CARE,1526 GILMER AVENUE,TALLASSEE,36078,3342836541,Non - Profit Private,TRUE,TRUE,TRUE,TRUE,TRUE,9/27/1994,3,95.3,100,83.1,71.4,22.5,16.2,Same As Expected
AL,17136,RELIABLE HOME HEALTH,435 MEETING AVENUE,GEORGIANA,36033,3343762286,Proprietary,TRUE,FALSE,FALSE,FALSE,TRUE,9/26/1994,2,93.1,98.3,61.7,55.7,24.5,15.3,Same As Expected
AL,17138,L V STABLER MEMORIAL HOME HEALTH,"104 CAMELLIA AVENUE, SUITE B",GREENVILLE,36037,3343832286,Proprietary,TRUE,FALSE,FALSE,TRUE,TRUE,10/18/1994,3.5,94.5,95.2,64.4,73,14.4,13.3,Same As Expected
AL,17139,ASSOCIATES HOME HEALTH SERVICES,102 WEST CONECUH AVE,UNION SPRINGS,36089,3347384155,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,12/12/1994,2.5,86.7,97.1,75.2,,29.7,11.2,Same As Expected
AL,17140,THE HOSPITAL HOME HEALTH,54 ROY BEALL DRIVE,LUVERNE,36049,3343353374,Proprietary,TRUE,FALSE,FALSE,FALSE,TRUE,12/28/1994,3,98.4,100,87.3,53.4,17.8,12.4,Same As Expected
AL,17142,"ATMORE COMMUNITY HOME CARE, LLC","121 LINDBERG AVENUE, SUITE C",ATMORE,36502,2513686286,Non - Profit Other,TRUE,FALSE,FALSE,FALSE,TRUE,2/13/1995,2,94.1,96.5,45.3,26,18.5,14.6,Same As Expected
AL,17143,D W MCMILLAN HOME HEALTH,114 W JACKSON STREET,BREWTON,36426,2518675054,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/23/1995,5,99.6,99.8,86.7,85.3,19.2,14.5,Same As Expected
AL,17145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,35128,2058847202,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,11/29/1995,3.5,98.7,98.4,79.2,73.4,19.3,11.6,Worse Than Expected
AL,17146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE, NE",RUSSELLVILLE,35653,2563310006,Non - Profit Private,TRUE,TRUE,TRUE,FALSE,TRUE,10/1/1998,3.5,95.6,99.2,65,66.7,17.6,13.6,Same As Expected
AL,17147,SOUTHERN HOME HEALTH SERVICES,"30 SAMFORD AVENUE, UNIT 36-D",OPELIKA,36801,3347457966,Non - Profit Private,TRUE,TRUE,TRUE,TRUE,TRUE,2/18/1999,2.5,90,98.6,85.2,51.2,18.8,10.4,Same As Expected
AL,17148,THOMAS HOME HEATLH,"7530 PARKER ROAD, SUITE 200",FAIRHOPE,36532,2516251520,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/13/2000,4.5,97.7,99.9,79,86.2,15.6,9.9,Same As Expected
AL,17149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",BIRMINGHAM,35242,2053132800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/12/2000,3,97.8,99.4,85.1,66.4,16.4,10.2,Same As Expected
AL,17151,KINDRED AT HOME,1328 GREENBRIER-DEAR ROAD,ANNISTON,36207,2568357101,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/5/2000,3.5,94.4,97.3,88.3,77,22.6,9.1,Worse Than Expected
AL,17152,KINDRED AT HOME,1025 WEST FORT WILLIAMS ST,SYLACAUGA,35150,2562494363,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/5/2000,4,97.7,99.8,85.2,81.6,20,15.3,Same As Expected
AL,17153,COMFORT CARE HOME HEALTH OF ALABASTER,"1140 1ST STREET N, STE 200",ALABASTER,35007,2056850421,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,3/20/2002,2.5,93.1,96.8,81.8,61.3,18.3,10.5,Worse Than Expected
AL,17154,AMEDISYS HOME HEALTH,"4735 NORREL DRIVE, SUITE 125",TRUSSVILLE,35173,2056553707,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/20/2003,4,97.9,99.2,85.7,81,18,16.3,Same As Expected
AL,17155,ALACARE HOME HEALTH & HOSPICE (MOBILE),6333 COTTAGE HILL ROAD,MOBILE,36609,2513410707,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/5/2004,4,87.5,99.7,77,85.8,16.8,9.5,Same As Expected
AL,17156,BAPTIST CITIZENS HOME HEALTH CARE,604 STONE AVENUE,TALLADEGA,35160,2563628111,Non - Profit Religious,TRUE,FALSE,TRUE,TRUE,TRUE,8/25/2004,3.5,94.4,90.5,55.4,85,21.8,11.3,Same As Expected
AL,17157,AMEDISYS HOME HEALTH OF OPELIKA,"3320 SKYWAY DRIVE, SUITE 804",OPELIKA,36801,3348877234,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,3/9/2006,4,97.3,97.5,84.1,83.8,18.7,12.3,Worse Than Expected
AL,17158,AMEDISYS HOME HEALTH OF FORT PAYNE,501 GREENHILL BLVD SUITE 150,FORT PAYNE,35967,2568448303,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/11/2006,4.5,97.8,99.1,92.8,84.5,17.9,12.8,Same As Expected
AL,17159,AMEDISYS HOME HEALTH,2560 COUNTY ROAD 112,DOTHAN,36303,3347740370,Proprietary,TRUE,FALSE,TRUE,TRUE,TRUE,7/26/2006,3.5,96.9,93.8,74.4,77.1,20.5,18.3,Same As Expected
AL,17160,ENCOMPASS HOME HEALTH OF ALABAMA,"2002 35TH STREET, SUITE D",VALLEY,36854,3347566225,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/13/2006,4,95.7,98.4,85.1,79.5,16.7,13.5,Same As Expected
AL,17161,KINDRED AT HOME,"7067 OLD MADISON PIKE NW, SUITE 105",HUNTSVILLE,35806,2568813266,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,3/15/2007,4,92.3,98.5,83.2,86.7,17.9,13.5,Same As Expected
AL,17163,AMEDISYS HOME HEALTH OF MONROEVILLE,15 MAYFIELD STREET,MONROEVILLE,36460,2515759195,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,4/12/2007,5,96.4,99.8,87.6,100,20.9,19.1,Worse Than Expected
AL,17164,KINDRED AT HOME,2740 HEADLAND AVE,DOTHAN,36303,3349442290,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/27/2008,4.5,99.3,99.2,89.8,86.7,17.9,13.1,Same As Expected
AL,17165,AMEDISYS HOME HEALTH OF FLORENCE,"412 S COURT STREET, SUITE 403",FLORENCE,35630,2567661817,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/10/2008,3.5,93.3,99.8,79.8,75.9,20.5,12.8,Worse Than Expected
AL,17166,GENTIVA HEALTH SERVICES,118 6TH STREET SOUTH,CLANTON,35045,2057559926,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/11/2009,3.5,96.7,84.5,87.8,78.5,18.7,9.8,Worse Than Expected
AL,17167,KINDRED AT HOME,3319 DR JOHN HAYNES DRIVE SUITE 4,PELL CITY,35125,2053388440,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/20/2009,3.5,90,99.3,77.3,77.2,22.9,8.7,Same As Expected
AL,17168,KINDRED AT HOME,824 WESTERN AMERICA DRIVE,MOBILE,36609,2513160917,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/21/2009,3.5,98.6,99.7,95.3,74.2,21,11,Same As Expected
AL,17169,CV HOME HEALTH SERVICES,17035 HWY 11 NORTH,VANCE,35490,2055629615,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/15/2010,1.5,82.2,91.6,70.8,44.5,,,Not Available
AL,17170,KINDRED AT HOME,1458 JONES DAIRY ROAD SUITE 100,JASPER,35501,2052215234,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/4/2009,4.5,97,99.4,85.3,85.5,16.4,12.5,Same As Expected
AL,17171,GENTIVA HEALTH SERVICES,"1015 1ST STREET, SW, SUITE A",CULLMAN,35055,2567392992,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/2/2009,3.5,94.7,92.4,86.9,76.8,20.9,15.2,Same As Expected
